code,airline,belongs
OU,Croatia Airlines|克罗地亚航空,克罗地亚
OV,Estonian Air|爱沙尼亚航空,爱沙尼亚
OW,Executive Airlines,美国
OX,Orient Thai Airlines|泰国东方航空,泰国
OZ,Asiana Airlines|韩亚航空,韩国
PA,泛美航空,美国
P2,UTair,俄罗斯
P7,EastLine,俄罗斯
PC,Fiji Air|斐济航空,斐济
PD,波特航空,加拿大
PE,Air Europe SPA,
PG,Bangkok Airways|曼谷航空,泰国
PK,Pakistan International Airlines|巴基斯坦国际航空,巴基斯坦
PN,West Air|西部航空,属于海航集团ＨＮＡ中国
PO,美商保罗航空公司极地航空公司（Polar） 美国
PR,菲律宾航空（Philippine Airlines）,菲律宾
PS,乌克兰国际航空(Ukraine International Airlines) 乌克兰
PX,Air Niugini 巴布亚新几内亚
PY,苏里南航空（Surinam Airways）,苏里南
Q3,PB Air,泰国
Q5,40-Mile Air 美国
QF,澳洲航空（Qantas Airways）,澳洲
QT,哥伦比亚坦帕航空公司,
QQ,Alliance Airlines Reno Air,美国（已歇业）
QR,卡塔尔航空（Qatar Airways）,卡塔尔
QS,Travel Service Airlines Smart Wings 捷克
QV,老挝航空（Lao Aviation）,老挝
QW,青岛航空, 中国
QX,Horizon Air 美国
QZ,加拿大爵士航空 加拿大 Indonesia AirAsia 印度尼西亚
R2,Orenburg Airlines 俄罗斯
RA,皇家尼泊尔航空（Royal Nepal Airlines） 尼泊尔
RB,叙利亚阿拉伯航空（Syrian Arab Airlines）,叙利亚
RC,大西洋航空公司（Atlantic Airways） 法罗群岛
RE,Aer Arann 爱尔兰
RF,佛罗里达西部国际航空公司（Florida West International Airways）,美国
RG,巴西航空（Varig Brasil）,巴西
RI,Mandala Airlines,印度尼西亚
RJ,皇家约旦航空(Royal Jordanian Airline) 约旦
RQ,Kam Air 阿富汗
RN,曙光航空（Air Horizons）,
RN,Euralair,法国
RO,Tarom 罗马尼亚
S2,撒哈拉航空（Air Sahara） 印度
S4,SATA International,葡萄牙
S7,西伯利亚航空（S7 Airlines） 俄国
S9,East African Safari Air 
SA,南非航空(South African Airways) 南非
SC,山东航空（Shandong Airlines） 中国
SD,苏丹航空（Sudan Airways） 苏丹
SG,Jetsgo,
SG,Spicejet,印度
SH,FlyMe 
SJ,自由航空（Freedom Air） 新西兰
SK,斯堪的纳维亚航空(SAS Scandinavian Airlines) 瑞典
SN,Brussels Airlines 比利时
SQ,新加坡航空（Singapore Airlines）,新加坡
SR,瑞士航空（Swissair）, 瑞士（已结束营运）
SU,俄罗斯航空(Aeroflot Russian Airlines),俄罗斯
SV,沙特阿拉伯航空(Saudi Arabian Airlines) 沙特阿拉伯
SW,纳米比亚航空（Air Namibia） 纳米比亚
SY,太阳乡村航空（Sun Country Airlines）,美国
SZ,中国西南航空(Air China Southwest Company) 中国
T4,Hellas Jet,
T5,土库曼斯坦航空（Turkmenistan） 土库曼
T7,Twin Jet,法国
T9,TransMerridian Airlines 美国
TA,Taca International,萨尔瓦多
TE,立陶宛航空（flyLAL） 立陶宛
